instnm,Highest degree offered (HD2016),Level of institution (HD2016),Total price for in-state students living on campus 2016-17 (DRVIC2016),Total price for out-of-state students living on campus 2016-16 (DRVIC2016),Admissions yield - full time (DRVADM2015),Percent admitted - total (DRVADM2015),
Kenneth Shuler School of Cosmetology-Florence,0,3,,,,,
Kenneth Shuler School of Cosmetology-Goose Creek,0,3,,,,,
Kenneth Shuler School of Cosmetology-Greenville,0,3,,,,,
Kenneth Shuler School of Cosmetology-North Augusta,0,3,,,,,
Kenneth Shuler School of Cosmetology-Rock Hill,0,3,,,,,
Kenneth Shuler School of Cosmetology-Spartanburg,0,3,,,,,
Kenny's Academy of Barbering,0,3,,,,,
Kenrick Glennon Seminary,20,1,37000,37000,93,88,
Kent State University at Ashtabula,30,1,,,,,
Kent State University at East Liverpool,30,1,,,,,
Kent State University at Geauga,20,1,,,,,
Kent State University at Kent,11,1,25514,33878,31,85,
Kent State University at Salem,30,1,,,,,
Kent State University at Stark,20,1,,,,,
Kent State University at Trumbull,20,1,,,,,
Kent State University at Tuscarawas,30,1,,,,,
Kentucky Christian University,20,1,32502,32502,32,36,
Kentucky Community and Technical College System,40,2,,,,,
Kentucky Horseshoeing School,0,3,,,,,
Kentucky Mountain Bible College,30,1,13460,13460,69,63,
Kentucky State University,13,1,18660,28962,11,38,
Kentucky Wesleyan College,30,1,36130,36130,26,64,
Kenyon College,30,1,66670,66670,29,26,
Kettering College,13,1,26308,26308,75,100,
Kettering University,20,1,56267,56267,25,70,
Keuka College,20,1,45421,45421,18,77,
Keune Academy by 124,0,3,,,,,
Keweenaw Bay Ojibwa Community College,40,2,,,,,
Key College,30,1,,,50,100,
Keystone College,20,1,40700,40700,29,98,
Keystone Technical Institute,40,2,,,,,
Kiamichi Technology Center-Atoka,0,3,,,,,
Kiamichi Technology Center-Durant,0,2,,,,,
Kiamichi Technology Center-Hugo,0,3,,,,,
Kiamichi Technology Center-Idabel,0,3,,,,,
Kiamichi Technology Center-McAlester,0,3,,,,,
Kiamichi Technology Center-Poteau,0,3,,,,,
Kiamichi Technology Center-Spiro,0,3,,,,,
Kiamichi Technology Center-Stigler,0,3,,,,,
Kiamichi Technology Centers-Talihina Campus,0,3,,,,,
Kilgore College,40,2,16616,17816,,,
Kilian Community College,40,2,,,,,
King University,13,1,40342,40342,38,44,
King's College,40,2,25776,25776,28,90,
King's College,20,1,50828,50828,22,72,
Kirksville Area Technical Center,0,3,,,60,71,
Kirkwood Community College,40,2,,,,,
Kirtland Community College,40,2,,,,,
Kishwaukee College,40,2,,,,,
Kittanning Beauty Academy,0,3,,,,,
Klamath Community College,40,2,,,,,
Knowledge Systems Institute,20,1,,,,,
Knox Beauty College,0,3,,,,,
Knox College,30,1,54515,54515,18,64,
Knox County Career Center,0,3,,,,,
Knoxville Institute of Hair Design,0,3,,,,,
Kutztown University of Pennsylvania,12,1,24614,35706,28,82,
Kuyper College,30,1,30178,30178,29,71,
L T International Beauty School,0,3,,,,,
L'Academie de Cuisine,0,3,,,,,
L'Ecole Culinaire-Kansas City,40,2,,,,,
L'Ecole Culinaire-Memphis,40,2,,,,,
L'Ecole Culinaire-St Louis,40,2,,,,,
L'esprit Academy,0,3,,,,,
La Baron Hairdressing Academy-Brockton,0,3,,,,,
La Baron Hairdressing Academy-New Bedford,0,3,,,,,
La Baron Hairdressing Academy-Overland Park,0,3,,,,,
La Belle Beauty Academy,0,3,,,,,
La Belle Beauty School,0,3,,,,,
La James College of Hairstyling and Cosmetology,0,2,,,,,
La James International College-Cedar Falls,0,2,,,,,
La James International College-Davenport,0,2,,,,,
La James International College-East Moline,0,3,,,,,
La James International College-Ft Dodge,0,2,,,,,
La James International College-Iowa City,0,2,,,,,
La James International College-Johnston,0,2,,,,,
La Roche College,13,1,41554,41554,26,95,
La Salle University,13,1,56680,56680,18,75,
La Sierra University,12,1,44649,44649,22,45,
La'James International College,0,2,,,,,
LaBarberia Institute of Hair,0,2,,,,,
Labette Community College,40,2,,,,,
Laboure College,30,1,,,9,52,
Lac Courte Oreilles Ojibwa Community College,40,2,,,,,
Lackawanna College,40,2,27490,27490,,,
Lafayette College,30,1,66105,66105,30,30,
LaGrange College,20,1,43930,43930,30,57,
Laguna College of Art and Design,20,1,47325,47325,56,37,
Laird Institute of Spa Therapy,0,3,,,,,
Lake Area Technical Institute,40,2,,,,,
Lake Career and Technical Center,0,3,,,,,
Lake Erie College,20,1,43642,43642,22,56,
Lake Erie College of Osteopathic Medicine,13,1,,,,,
Lake Forest College,20,1,57000,57000,19,55,
Lake Forest Graduate School of Management,20,1,,,,,
Lake Land College,40,2,,,,,
Lake Lanier School of Massage,0,3,,,,,
Lake Michigan College,30,1,19020,19020,,,
Lake Region State College,40,2,14778,14778,,,
Lake Superior College,40,2,,,,,
Lake Superior State University,30,1,23161,23161,29,92,
Lake Tahoe Community College,40,2,,,,,
Lake Technical College,0,3,,,,,
Lake Washington Institute of Technology,30,1,,,,,
Lake-Sumter State College,30,1,,,,,
Lakeland Community College,40,2,,,,,
Lakeland University,20,1,39468,39468,21,96,
Lakes Region Community College,40,2,23126,31286,,,
Lakeshore Technical College,40,2,,,,,
Lakeview College of Nursing,30,1,,,,,
Lakewood School of Therapeutic Massage,0,3,,,,,
Lamar Community College,40,2,16562,18890,,,
Lamar Institute of Technology,40,2,,,,,
Lamar State College-Orange,40,2,,,,,
Lamar State College-Port Arthur,40,2,19508,31748,,,
Lamar University,11,1,21796,31588,41,79,
Lamson Institute,0,3,,,,,
Lancaster Beauty School,0,3,,,,,
Lancaster Bible College,12,1,33430,33430,60,68,
Lancaster County Career and Technology Center,40,2,,,,,
Lancaster School of Cosmetology & Therapeutic Bodywork,0,3,,,,,
Lancaster Theological Seminary,13,1,,,,,
Lander University,20,1,23483,33083,34,62,
Landmark College,30,1,69020,69020,30,60,
Lane College,30,1,20700,20700,17,55,
Lane Community College,40,2,15663,20991,,,
Laney College,40,2,,,,,
Langston University,13,1,20184,27523,,,
Lanier Technical College,40,2,,,,,
Lansdale School of Business,40,2,,,,,
Lansdale School of Cosmetology Inc,0,3,,,,,
Lansing Community College,40,2,,,,,
Laramie County Community College,40,2,13964,18236,,,
Laredo Beauty College Inc,0,3,,,,,
Laredo CHI Academy Beauty School,0,3,,,,,
Laredo Community College,40,2,,,,,
Larry's Barber College,0,3,,,,,
Las Positas College,40,2,,,,,
Lasell College,20,1,51000,51000,20,78,
Lassen Community College,40,2,14055,18879,,,
Latin Beauty Academy,0,3,,,,,
Latter-day Saints Business College,40,2,,,,,
Laurel Business Institute,40,2,,,52,94,
Laurel Technical Institute,40,2,,,36,99,
Laurel Technical Institute,40,2,,,51,99,
Laurus College,40,2,,,,,
Lawrence & Company College of Cosmetology,0,3,,,,,
Lawrence & Company College of Cosmetology,0,3,,,,,
Lawrence Memorial Hospital School of Nursing,40,2,,,,,
Lawrence Technological University,12,1,46948,46948,29,55,
Lawrence University,30,1,56823,56823,19,68,
Lawson State Community College-Birmingham Campus,40,2,13740,17250,,,
Le Cordon Bleu College of Culinary Arts - Orlando,40,2,,,,,
Le Cordon Bleu College of Culinary Arts-Atlanta,40,2,,,,,
Le Cordon Bleu College of Culinary Arts-Austin,40,2,,,,,
Le Cordon Bleu College of Culinary Arts-Cambridge,40,2,,,,,
Le Cordon Bleu College of Culinary Arts-Chicago,40,2,,,,,
Le Cordon Bleu College of Culinary Arts-Dallas,40,2,,,,,
Le Cordon Bleu College of Culinary Arts-Las Vegas,40,2,,,,,
Le Cordon Bleu College of Culinary Arts-Miami,40,2,,,,,
Le Cordon Bleu College of Culinary Arts-Minneapolis,40,2,,,,,
Le Cordon Bleu College of Culinary Arts-Orlando,40,2,,,,,
Le Cordon Bleu College of Culinary Arts-Pasadena,40,2,,,,,
Le Cordon Bleu College of Culinary Arts-Portland,40,2,,,,,
Le Cordon Bleu College of Culinary Arts-Sacramento,40,2,,,,,
Le Cordon Bleu College of Culinary Arts-San Francisco,40,2,,,,,
Le Cordon Bleu College of Culinary Arts-Scottsdale,30,1,,,,,
Le Cordon Bleu College of Culinary Arts-Seattle,40,2,,,,,
Le Cordon Bleu College of Culinary Arts-St Louis,40,2,,,,,
Le Moyne College,20,1,48700,48700,15,62,
Le Moyne-Owen College,30,1,18980,18980,34,100,
Learnet Academy Inc,40,2,,,,,
Learning Bridge Career Institute,0,3,,,,,
Lebanon College of Cosmetology,0,3,,,,,
Lebanon County Area Vocational Technical School,0,3,,,,,
Lebanon Valley College,13,1,54930,54930,19,72,
Lee College,40,2,,,,,
Lee Professional Institute,0,3,,,,,
Lee University,20,1,30000,30000,45,85,
Leech Lake Tribal College,40,2,,,,,
Lees School of Cosmetology,0,3,,,,,
Lees-McRae College,30,1,41630,41630,21,67,
Leeward Community College,40,2,,,,,
LeGrand Institute of Cosmetology Inc,0,3,,,,,
Lehigh Carbon Community College,40,2,,,,,
Lehigh University,12,1,63075,63075,32,30,
LeMelange Academy of Hair,0,3,,,,,
Lenape Technical School Practical Nursing Program,0,3,,,,,
Lenoir Community College,40,2,,,,,
Lenoir-Rhyne University,20,1,49340,49340,13,84,
Lenoir-Rhyne University-Lutheran Theological Southern Seminary,20,1,,,,,
Leon Studio One School of Beauty Knowledge,0,3,,,,,
Leon Studio One School of Hair Design & Career Training Center,0,3,,,,,
Leons Beauty School Inc,0,3,,,,,
Lesley University,12,1,45265,45265,17,67,
Lester E Cox Medical Center-School of Medical Technology,0,1,,,,,
LeTourneau University,20,1,42408,42408,27,45,
Levittown Beauty Academy,0,3,,,,,
Lewis & Clark College,13,1,61536,61536,14,63,
Lewis and Clark Community College,40,2,,,,,
Lewis University,12,1,44100,44100,20,62,
Lewis-Clark State College,30,1,17362,28862,47,99,
Lex La-Ray Technical Center,0,3,,,100,93,
Lexington Healing Arts Academy,0,3,,,,,
Lexington Theological Seminary,13,1,,,,,
Lia Schorr Institute of Cosmetic Skin Care Training,0,3,,,,,
Liberty University,11,1,37645,37645,35,22,
Life Chiropractic College West,13,1,,,,,
Life Pacific College,20,1,26805,26805,63,64,
Life University,13,1,37620,37620,52,59,
Lil Lou's Beauty and Barber College LLC,0,3,,,,,
Lil Lou's Beauty and Barber College-Portage,0,3,,,,,
LIM College,20,1,49675,49675,28,91,
Limestone College,20,1,39618,39618,29,46,
Lincoln Christian University,13,1,25899,25899,60,60,
Lincoln College,30,1,30314,30314,52,52,
Lincoln College of New England-Southington,30,1,37411,37411,,,
Lincoln College of Technology-Columbia,40,2,,,,,
Lincoln College of Technology-Denver,40,2,,,,,
Lincoln College of Technology-Grand Prairie,40,2,,,,,
Lincoln College of Technology-Indianapolis,40,2,,,,,
Lincoln College of Technology-Marietta,40,2,,,,,
Lincoln College of Technology-Melrose Park,40,2,,,,,
Lincoln College of Technology-Nashville,40,2,,,,,
Lincoln College of Technology-West Palm Beach,30,1,,,,,
Lincoln Land Community College,40,2,,,,,
LINCOLN LAW SCHOOL OF SACRAMENTO,13,1,,,,,
Lincoln Memorial University,11,1,37801,37801,15,74,
Lincoln Technical Institute-Allentown,40,2,,,,,
Lincoln Technical Institute-Brockton,0,3,,,,,
Lincoln Technical Institute-Center City Philadelphia,40,2,,,,,
Lincoln Technical Institute-East Windsor,0,3,,,,,
Lincoln Technical Institute-Fern Park,40,2,,,,,
Lincoln Technical Institute-Hartford,0,3,,,,,
Lincoln Technical Institute-Iselin,0,3,,,,,
Lincoln Technical Institute-Lincoln,0,3,,,,,
Lincoln Technical Institute-Lowell,0,3,,,,,
Lincoln Technical Institute-Mahwah,0,2,,,,,
Lincoln Technical Institute-Moorestown,0,3,,,,,
Lincoln Technical Institute-New Britain,0,3,,,,,
Lincoln Technical Institute-Northeast Philadelphia,40,2,,,,,
Lincoln Technical Institute-Paramus,0,3,,,,,
Lincoln Technical Institute-Philadelphia,40,2,,,,,
Lincoln Technical Institute-Shelton,0,3,,,,,
Lincoln Technical Institute-Somerville,0,3,,,,,
Lincoln Technical Institute-South Plainfield,0,2,,,,,
Lincoln Technical Institute-Union,0,3,,,,,
Lincoln Technical Institute-Whitestone,0,3,,,,,
Lincoln Trail College,40,2,,,,,
Lincoln University,12,1,,,,,
Lincoln University,20,1,17654,24044,,,
Lincoln University,20,1,26226,31857,15,91,
Lindenwood University,12,1,29932,29932,53,55,
Lindsey Hopkins Technical College,0,2,,,,,
Lindsey Institute of Cosmetology,0,2,,,,,
Lindsey Wilson College,12,1,39125,39125,,,
Linfield College-McMinnville Campus,30,1,54730,54730,24,84,
Linfield College-Online and Continuing Education,30,1,,,,,
Linfield College-School of Nursing,30,1,,,,,
Linn-Benton Community College,40,2,,,,,
Lipscomb University,11,1,46046,46046,33,61,
Little Big Horn College,40,2,,,,,
Little Priest Tribal College,40,2,16710,16710,,,
LIU Brentwood,20,1,,,,,
LIU Brooklyn,11,1,54182,54182,12,91,
LIU Hudson at Rockland,20,1,,,,,
LIU Hudson at Westchester,20,1,,,,,
LIU Post,12,1,54182,54182,10,81,
LIU Riverhead,20,1,,,,,
LIU-University Center Campus,11,1,,,,,
Lively Technical Center,0,3,,,,,
Living Arts College,30,1,31497,31497,,,
Livingstone College,30,1,27660,27660,13,71,
Lock Haven University,20,1,25587,34679,27,92,
Logan University,11,1,,,,,
Loma Linda University,11,1,,,,,
Lone Star College System,40,2,,,,,
Long Beach City College,40,2,,,,,
Long Island Barber Institute,0,3,,,,,
Long Island Beauty School-Hauppauge,0,3,,,,,
Long Island Beauty School-Hempstead,0,3,,,,,
Long Island Business Institute,40,2,,,,,
Long Island Nail & Skin Care Institute,0,3,,,,,
Longwood University,20,1,26817,41715,27,79,
Longy School of Music of Bard College,20,1,,,19,94,
Lorain County Community College,40,2,,,,,
Lorain County Joint Vocational School District,0,2,,,,,
Loraines Academy & Spa,0,3,,,,,
Loras College,20,1,42336,42336,33,95,
Lord Fairfax Community College,40,2,,,,,
Lorenzo Walker Technical College,0,2,,,,,
Los Angeles City College,40,2,,,,,
Los Angeles College of Music,30,1,,,,,
Los Angeles Community College District Office,40,2,,,,,
Los Angeles County College of Nursing and Allied Health,40,2,,,,,
Los Angeles Film School,30,1,,,,,
Los Angeles Harbor College,40,2,,,,,
Los Angeles Mission College,40,2,,,,,
Los Angeles ORT College-Los Angeles Campus,40,2,,,,,
Los Angeles ORT College-Van Nuys Campus,40,2,,,,,
Los Angeles Pierce College,40,2,,,,,
Los Angeles Southwest College,40,2,,,,,
Los Angeles Trade Technical College,40,2,,,,,
Los Angeles Valley College,40,2,,,,,
Los Medanos College,40,2,,,,,
Los Rios Community College District Office,40,2,,,,,
Louisburg College,40,2,31835,31835,38,78,
Louisiana Academy of Beauty,0,3,,,,,
Louisiana College,20,1,25750,25750,40,69,
Louisiana Culinary Institute,30,1,,,70,97,
Louisiana Delta Community College,40,2,,,,,
Louisiana State University and Agricultural & Mechanical College,11,1,28934,45611,42,77,
Louisiana State University Health Sciences Center-New Orleans,11,1,,,,,
Louisiana State University Health Sciences Center-Shreveport,11,1,,,,,
Louisiana State University-Alexandria,30,1,19170,26436,30,68,
Louisiana State University-Eunice,40,2,,,,,
Louisiana State University-Shreveport,12,1,,,72,76,
Louisiana Tech University,11,1,19338,36072,47,64,
Louisville Presbyterian Theological Seminary,13,1,,,,,
Lourdes University,20,1,34070,34070,31,69,
Love Beauty School Inc,0,3,,,,,
Lowell Academy Hairstyling Institute,0,3,,,,,
Lower Columbia College,40,2,,,,,
Loyola Marymount University,11,1,62454,62454,20,51,
Loyola University Chicago,11,1,58602,58602,14,71,
Loyola University Maryland,11,1,63590,63590,12,61,
Loyola University New Orleans,13,1,54410,54410,20,90,
Lu Ross Academy,0,3,,,,,
Lubbock Christian University,20,1,34184,34184,33,96,
Lubbock Hair Academy,0,3,,,,,
Luckes Beauty Academy,0,3,,,,,
Luna Community College,40,2,,,,,
Lurleen B Wallace Community College,40,2,,,,,
Luther College,30,1,52595,52595,24,67,
Luther Rice College & Seminary,12,1,,,31,100,
Luther Seminary,11,1,,,,,
Lutheran School of Nursing,0,2,23229,23229,,,
Lutheran School of Theology at Chicago,12,1,,,,,
Lutheran Theological Seminary at Gettysburg,20,1,,,,,
Lutheran Theological Seminary at Philadelphia,11,1,,,,,
Luzerne County Community College,40,2,,,,,
Lycoming College,30,1,51652,51652,26,71,
Lyles Bakersfield College of Beauty,0,3,,,,,
Lyles Fresno College of Beauty,0,3,,,,,
Lynchburg College,11,1,49860,49860,15,69,
Lyndon State College,20,1,23878,35566,23,98,
Lynn University,12,1,54002,54002,18,76,
Lynnes Welding Training,0,3,,,,,
Lyon College,30,1,37730,37730,22,59,
Lytles Redwood Empire Beauty College Inc,0,3,,,,,
M J Murphy Beauty College of Mount Pleasant,0,3,,,,,
M T Training Center,0,3,,,,,
M-DCPS The English Center,0,3,,,,,
Macalester College,30,1,64007,64007,25,39,
MacCormac College,40,2,,,,,
Machzikei Hadath Rabbinical College,30,1,15200,15200,100,100,
MacMurray College,30,1,36320,36320,22,63,
Macomb Community College,40,2,,,,,
Madison Adult Career Center,0,2,,,,,
Madison Area Technical College,40,1,,,,,
Madison Media Institute,30,1,,,,,
Madison Media Institute-Rockford Career College,40,2,,,,,
Madison Oneida BOCES-Practical Nursing Program,0,3,,,82,85,
Madisonville Community College,40,2,,,,,
Madonna University,13,1,32712,32712,31,60,
Magnolia College of Cosmetology,0,3,,,,,
Maharishi University of Management,12,1,39730,39730,68,37,
Mahoning County Career and Technical Center,0,3,,,,,
Maine College of Art,20,1,47144,47144,28,98,
Maine College of Health Professions,40,2,20210,20210,100,25,
Maine Maritime Academy,20,1,27008,40088,42,65,
Make-up Designory,0,3,,,,,
Malone University,20,1,42650,42650,30,69,
Manatee Technical College,0,2,,,,,
Manchester Community College,40,2,,,,,
Manchester Community College,40,2,,,,,
Manchester University,13,1,43152,43152,19,71,
Mandalyn Academy,0,3,,,,,
Mandl School-The College of Allied Health,40,2,,,,,
Manhattan Area Technical College,40,2,,,,,
Manhattan Christian College,30,1,27688,27688,48,82,
Manhattan College,20,1,58214,58214,16,67,
Manhattan Institute,0,3,,,,,
Manhattan School of Computer Technology,0,3,,,,,
Manhattan School of Music,14,1,66200,66200,28,46,
Manhattanville College,12,1,53790,53790,15,74,
Manor College,40,2,28525,28525,23,55,
Mansfield Beauty Schools-Quincy,0,3,,,,,
Mansfield Beauty Schools-Springfield,0,3,,,,,
Mansfield University of Pennsylvania,20,1,28200,37584,23,89,
Manthano Christian College,30,1,,,,,
Manuel and Theresa's School of Hair Design-Bryan,0,3,,,,,
Manuel and Theresa's School of Hair Design-Victoria,0,3,,,,,
Maple Springs Baptist Bible College and Seminary,14,1,,,,,
Maranatha Baptist University,13,1,24920,24920,76,69,
Marchman Technical Education Center,0,2,,,,,
Margaret H Rollins School of Nursing at Beebe Medical Center,0,2,,,,,
Margaret's Hair Academy Inc,0,3,,,,,
Maria College of Albany,30,1,,,38,46,
Marian Health Careers Center-Los Angeles Campus,0,3,,,,,
Marian Health Careers Center-Van Nuys Campus,0,3,,,,,
Marian University,12,1,39600,39600,29,84,
Marian University,13,1,46168,46168,26,56,
Maricopa Community College System Office,40,2,,,,,
Maricopa Skill Center,0,3,,,,,
Marietta College,20,1,49118,49118,14,72,
Marion Military Institute,40,2,18568,24568,51,59,
Marion S Whelan School of Nursing of Geneva General Hospital,0,3,,,50,100,
Marion Technical College,40,2,,,,,
Marion Technical College,0,2,,,,,
Marist College,20,1,52760,52760,29,45,
Marketti Academy of Cosmetology,0,3,,,,,
Marlboro College,20,1,54102,54102,26,94,
Marlboro College Graduate & Professional Studies,20,1,,,,,
Marquette University,11,1,53485,53485,12,74,
Mars Hill University,20,1,41716,41716,21,61,
Marshall B Ketchum University,13,1,,,,,
Marshall University,11,1,20726,29954,44,88,
Marshalltown Community College,40,2,17494,17782,,,
Martin Community College,40,2,,,,,
Martin Luther College,20,1,24580,24580,84,78,
Martin Methodist College,20,1,35608,35608,,,
Martin University,20,1,,,,,
Martinsburg College,40,2,,,,,
Mary Baldwin University,13,1,42665,42665,7,97,
Marygrove College,20,1,31644,31644,13,57,
Maryland Beauty Academy,0,3,,,,,
Maryland Beauty Academy of Essex,0,3,,,,,
Maryland Institute College of Art,20,1,60800,60800,23,47,
Maryland University of Integrative Health,13,1,,,,,
Marylhurst University,20,1,,,80,100,
Marymount California University,20,1,54880,54880,,,
Marymount Manhattan College,30,1,54780,54780,14,84,
Marymount University,12,1,46664,46664,21,68,
Maryville College,30,1,48108,48108,30,67,
Maryville University of Saint Louis,12,1,45794,45794,36,72,
Marywood University,11,1,49400,49400,23,71,
Massachusetts Bay Community College,40,2,,,,,
Massachusetts College of Art and Design,20,1,28900,49500,32,71,
Massachusetts College of Liberal Arts,20,1,23929,32874,18,73,
Massachusetts General Hospital Dietetic Internship,0,1,,,,,
Massachusetts Institute of Technology,12,1,65478,65478,73,8,
Massachusetts Maritime Academy,20,1,23932,40528,63,74,
Massachusetts School of Barbering,0,3,,,,,
Massachusetts School of Law,13,1,,,,,
Massage Therapy Institute of Colorado,0,3,,,,,
Massage Therapy Trainining Institute,0,3,,,,,
Massasoit Community College,40,2,,,,,
Master Educators Beauty School,0,2,,,,,
Masters of Cosmetology College,0,2,,,,,
Mauna Loa Helicopters,0,3,,,0,100,
Mayfield College,40,2,,,,,
Mayland Community College,40,2,,,,,
Mayo Clinic Graduate School of Biomedical Sciences,12,1,,,,,
Mayo Clinic School of Health Sciences,14,1,,,,,
Mayo Clinic School of Medicine,13,1,,,,,
Maysville Community and Technical College,40,2,,,,,
Mayville State University,20,1,17524,20343,,,
McCann School of Business & Technology,40,2,,,,,
McCann School of Business & Technology,40,2,,,,,
McCann School of Business & Technology,40,2,,,,,
McCann School of Business & Technology,40,2,,,,,
McCann School of Business & Technology,40,2,,,,,
McCann School of Business & Technology,40,2,,,,,
McCann School of Business & Technology,40,2,,,,,
McCann School of Business & Technology,40,2,,,,,
McCann School of Business & Technology,40,2,,,,,
McCormick Theological Seminary,14,1,,,,,
McDaniel College,20,1,53900,53900,19,80,
McDowell Technical Community College,40,2,,,,,
McHenry County College,40,2,,,,,
McKendree University,12,1,41490,41490,30,63,
McLennan Community College,40,2,,,,,
McMurry University,20,1,39873,39873,40,53,
McNally Smith College of Music,20,1,39810,39810,38,49,
McNeese State University,20,1,20462,31537,58,82,
McPherson College,20,1,39665,39665,41,73,
MCPHS University,11,1,51388,51388,19,87,
Meadville Lombard Theological School,20,1,,,,,
Med Academy,0,3,,,,,
Med-Assist School of Hawaii Inc,0,3,,,,,
Med-Life Institute-Kissimmee,40,2,,,,,
Med-Life Institute-Lauderdale Lakes,40,2,,,,,
Med-Life Institute-Naples,40,2,,,,,
Medaille College,13,1,42556,42556,41,69,
MediaTech Institute-Austin,0,3,,,,,
MediaTech Institute-Dallas,40,2,,,,,
MediaTech Institute-Houston,0,3,,,,,
MediaTech Institute-Oceanside,0,3,,,,,
Medical Allied Career Center,0,3,,,,,
Medical Career & Technical College,0,3,,,,,
Medical Career Institute,0,2,,,,,
Medical College of Wisconsin,11,1,,,,,
Medical Institute of Palm Beach,0,3,,,,,
Medical Professional Institute,0,3,,,30,100,
Medical Training College,0,3,,,,,
Medical University of South Carolina,11,1,,,,,
Medina County Career Center,0,3,,,,,
MedQuest College,0,3,,,,,
Medspa Academies,0,3,,,,,
MedTech College,40,2,,,,,
MedTech College-Ft Wayne Campus,40,2,,,,,
MedTech College-Greenwood Campus,40,2,,,,,
MedTech College-Lexington Campus,40,2,,,,,
Medtech Institute,40,2,,,,,
MedTech Institute-Atlanta Campus,40,2,,,,,
MedTech Institute-Orlando Campus,40,2,,,,,
Meharry Medical College,11,1,,,,,
Memorial College of Nursing,40,2,,,33,60,
Memorial Hospital School of Radiation Therapy Technology,0,2,,,,,
Memphis College of Art,20,1,45100,45100,,,
Memphis Institute of Barbering,0,3,,,,,
Memphis Theological Seminary,14,1,,,,,
Mendocino College,40,2,,,,,
Menlo College,30,1,58141,58141,16,38,
Merced College,40,2,,,,,
Mercer County Career Center,0,3,,,,,
Mercer County Community College,40,2,,,,,
Mercer County Technical Education Center,0,2,,,,,
Mercer University,11,1,50514,50514,27,67,
Mercy College,13,1,36448,36448,25,66,
Mercy College of Health Sciences,30,1,,,51,100,
Mercy College of Ohio,30,1,,,38,53,
Mercy Hospital School of Nursing,0,2,,,100,75,
Mercy Hospital School of Practical Nursing-Plantation General Hospital,0,3,,,100,40,
Mercy School of Nursing,0,2,,,,,
Mercy-St Luke's School of Radiologic Technology,0,2,,,,,
Mercyhurst University,12,1,49215,49215,27,80,
Mercyhurst University-North East Campus,40,2,30410,30410,,,
Meredith College,20,1,47987,47987,42,60,
Meredith Manor International Equestrian Center,0,2,30015,30015,,,
Meridian College,40,2,,,,,
Meridian Community College,40,2,11260,12560,,,
Meridian Institute of Surgical Assisting,40,2,,,,,
Meridian Technology Center,0,2,,,,,
Merkaz Bnos-Business School,0,2,,,59,93,
Merrell University of Beauty Arts and Science,0,3,,,,,
Merrillville Beauty College,0,3,,,,,
Merrillville Beauty College-Flawless Barber Academy,0,2,,,,,
Merrimack College,20,1,55620,55620,14,79,
Merritt College,40,2,,,,,
Merryfield School of Pet Grooming,0,3,,,,,
Mesa Community College,40,2,,,,,
Mesabi Range College,40,2,,,,,
Mesalands Community College,40,2,,,,,
Mesivta Keser Torah,30,1,,,100,100,
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,12,1,16625,16625,100,50,
Mesivta Torah Vodaath Rabbinical Seminary,30,1,19210,19210,75,80,
Mesivtha Tifereth Jerusalem of America,12,1,15750,15750,80,83,
Messenger College,30,1,22142,22142,20,44,
Messiah College,13,1,46590,46590,35,79,
Methodist College,20,1,40710,40710,25,51,
Methodist Theological School in Ohio,13,1,,,,,
Methodist University,13,1,53183,53183,20,56,
Metro Beauty Academy,0,3,,,,,
Metro Business College-Cape Girardeau,40,2,,,,,
Metro Business College-Jefferson City,40,2,,,,,
Metro Business College-Rolla,40,2,,,,,
Metro Technology Centers,0,2,,,,,
Metroplex Beauty School,0,3,,,,,
Metropolitan College of New York,20,1,,,42,53,
Metropolitan Community College Area,40,2,,,,,
Metropolitan Community College-Kansas City,40,2,,,,,
Metropolitan Learning Institute,0,3,,,,,
Metropolitan State University,12,1,,,16,100,
Metropolitan State University of Denver,20,1,,,38,65,
MGH Institute of Health Professions,11,1,,,,,
Miami Ad School-Minneapolis,0,2,,,,,
Miami Ad School-New York,0,2,,,,,
Miami Ad School-San Francisco,0,2,,,,,
Miami Ad School-Wynwood,0,2,,,,,
Miami Dade College,30,1,,,,,
Miami Lakes Educational Center and Technical College,0,2,,,,,
Miami Media School,40,2,,,,,
Miami Regional University,20,1,,,,,
Miami University-Hamilton,20,1,,,,,
Miami University-Middletown,20,1,,,,,
Miami University-Oxford,12,1,30420,48239,21,65,
Miami Valley Career Technology Center,0,3,,,,,
Miami-Jacobs Career College-Columbus,40,2,,,,,
Miami-Jacobs Career College-Dayton,40,2,,,,,
Miami-Jacobs Career College-Independence,40,2,,,,,
Miami-Jacobs Career College-Sharonville,40,2,,,,,
Miami-Jacobs Career College-Springboro,40,2,,,,,
Miami-Jacobs Career College-Troy,40,2,,,,,
MIAT College of Technology,40,2,,,66,64,
Michaels School of Hair Design and Esthetics-Paul Mitchell Partner School,0,3,,,,,
Michigan Barber School Inc,0,2,,,,,
Michigan Career and Technical Institute,0,3,13764,16840,,,
Michigan College of Beauty-Monroe,0,3,,,,,
Michigan College of Beauty-Troy,0,3,,,,,
Michigan Jewish Institute,30,1,,,86,66,
Michigan School of Professional Psychology,13,1,,,,,
Michigan State University,11,1,27290,51118,34,66,
Michigan State University-College of Law,13,1,,,,,
Michigan Technological University,12,1,28279,44613,31,75,
Mid City College,0,2,,,,,
Mid Michigan Community College,40,2,,,,,
