instnm,Highest degree offered (HD2016),Level of institution (HD2016),Total price for in-state students living on campus 2016-17 (DRVIC2016),Total price for out-of-state students living on campus 2016-16 (DRVIC2016),Admissions yield - full time (DRVADM2015),Percent admitted - total (DRVADM2015),
Beaumont Adult School,0,3,,,,,
Beautiful You School of Nail Technology,0,3,,,,,
Beauty Academy,0,3,,,,,
Beauty Academy of South Florida,0,3,,,,,
Beauty Anatomy Institute of Cosmetology and Wellness,0,3,,,,,
Beauty and Health Institute,0,3,,,,,
Beauty College of America,0,3,,,,,
Beauty School of Middletown,0,3,,,,,
Beauty Schools of America,0,3,,,,,
Beauty Schools of America-Hialeah,0,3,,,,,
Beauty Schools of America-Homestead,0,3,,,,,
Beauty Schools of America-Miami,0,3,,,,,
Beauty Schools of America-North Miami Beach,0,3,,,,,
Beauty Technical College Inc,0,3,,,,,
Beaver Falls Beauty Academy,0,3,,,,,
Becker College,20,1,54282,54282,19,67,
Beckfield College-Florence,30,1,,,,,
Beckfield College-Tri-County,40,2,,,,,
Beis Medrash Heichal Dovid,12,1,17700,17700,100,52,
Bel-Rea Institute of Animal Technology,40,2,,,62,35,
Belanger School of Nursing,40,2,,,20,29,
Belhaven University,20,1,34816,34816,17,51,
Bell Mar Beauty College,0,3,,,,,
Bella Academy of Cosmetology,0,2,,,,,
Bella Capelli Academy,0,3,,,,,
Bella Cosmetology College,0,3,,,,,
Bellarmine University,11,1,57794,57794,14,84,
Bellarmine University - Bullitt County,-3,-3,,,,,
Bellarmine University - Oldham County,-3,-3,,,,,
Belle Academy of Cosmetology,0,3,,,,,
Bellefonte Academy of Beauty,0,2,,,,,
